Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Toilets,Agent_number,Added_on,Updated_on
"Tastefully Newly Build Exquisitely Beautifully 5bedrooms Semi Detached Duplex With Bq Fitted Kitchen, Very Lovely Backconnies",Diplomatic Zone Katampe Ext Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-diplomatic-zone-katampe-ext-abuja-0FZCH,Abuja,Ext,"7,000,000/year",5 beds,5 baths,6 Toilets,08053979149,28 Jan 2022,24 Feb 2022
"Open Plan Space (580, 1160 Square Metres)",Off Awolowo Road Ikoyi S.w Ikoyi Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-off-awolowo-road-ikoyi-sw-ikoyi-lagos-8FNZU,Lagos,Ikoyi,"50,000/sqm",0 beds,0 baths,8 Toilets,08050606090,25 Oct 2021,24 Feb 2022
Furnished 4 Bedroom Apartment + Bq,Off Awolowo Road Ikoyi Ikoyi S.w Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-off-awolowo-road-ikoyi-ikoyi-sw-ikoyi-lagos-1GBXY,Lagos,Ikoyi,"11,000,000",4 beds,4 baths,5 Toilets,08124269637,18 Feb 2022,24 Feb 2022
Luxury 3 Bedroom Apartment + Bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-0GBQF,Lagos,Ikoyi,"9,000,000",3 beds,3 baths,4 Toilets,08124269637,16 Feb 2022,24 Feb 2022
Newly Built 2 Bedrooms Flat,By Mobil Off Ayo Alabi Oke Ira Ogba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-by-mobil-off-ayo-alabi-oke-ira-ogba-lagos-5FZUV,Lagos,Ogba,"1,500,000/year",2 beds,2 baths,0 Toilets,08180249383,03 Feb 2022,24 Feb 2022
Fully Serviced & Furnished Office Space,Idejo Adeola Odeku Victoria Island Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-idejo-adeola-odeku-victoria-island-lagos-6FSBM,Lagos,Island,"11,000,000", beds, baths,1 Toilets,08050606090,22 Nov 2021,24 Feb 2022
Premium 3 Bedroom Apartment,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-0GBHQ,Lagos,Ikoyi,"13,500,000",3 beds,3 baths,4 Toilets,08124269637,14 Feb 2022,24 Feb 2022
Newly Renovated 2 Numbers Of 3 Bedroom Flat,Merci Eneli Street Off Adelabu Surulere Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-merci-eneli-street-off-adelabu-surulere-lagos-2FZSQ,Lagos,Surulere,"2,500,000/year",2 beds,2 baths,0 Toilets,08180249383,02 Feb 2022,24 Feb 2022
3 Bedroom Apartment +bq+gym+pool,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-5GBLA,Lagos,Ikoyi,"19,000,000",3 beds,3 baths,4 Toilets,08124269637,15 Feb 2022,24 Feb 2022
Lavishly Built 5 Bedroom Detached House,"Cooper Road, Old Ikoyi Ikoyi Lagos",https://www.propertypro.ng/property/5-bedroom-house-for-sale-cooper-road-old-ikoyi-ikoyi-lagos-0FFJW,Lagos,Ikoyi,"1,000,000,000",5 beds,5 baths,6 Toilets,08082445909,23 Aug 2021,24 Feb 2022
Luxury 3 Bedroom Apartment + Bq,Victoria Island Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-ligali-ayorinde-victoria-island-lagos-0GBND,Lagos,Island,"16,500,000",3 beds,3 baths,4 Toilets,08124269637,15 Feb 2022,24 Feb 2022
3 Bedroom Flat,Few Minutes After Lakowe Lakowe Ajah Lagos,https://www.propertypro.ng/property/house-for-rent-few-minutes-after-lakowe-lakowe-ajah-lagos-2GBPC,Lagos,Ajah,"700,000/year",0 beds,0 baths,0 Toilets,09022355254,16 Feb 2022,24 Feb 2022
Newly Built 2 Bedroom Flat,In Between Ogidon And Shopprite Shegotedo Ajah Sangotedo Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-in-between-ogidon-and-shopprite-shegotedo-ajah-sangotedo-ajah-lagos-7FYBA,Lagos,Ajah,"1,300,000/year",2 beds,2 baths,3 Toilets,09022355254,21 Jan 2022,24 Feb 2022
One Single Room Shared Apartment,Omole Street Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-omole-street-ologolo-lekki-lagos-7GAGX,Lagos,Lekki,"1,000,000/year",1 beds,1 baths,1 Toilets,09153245574,06 Feb 2022,24 Feb 2022
Newly Built 5 Bedroom Detached House,Osapa London Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-8GBUP,Lagos,Lekki,"8,000,000",5 beds,5 baths,6 Toilets,08033354125,17 Feb 2022,23 Feb 2022
Newly Built Furnished 2 Bedroom Duplex,Stop Over International Airport Road Ajao Estate Isolo Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-stop-over-international-airport-road-ajao-estate-isolo-lagos-0FXMJ,Lagos,Isolo,"2,000,000/year",2 beds,2 baths,3 Toilets,08031132925,17 Jan 2022,23 Feb 2022
Miniflat,Fatai Irawo Street Off Ajao Junction Ajao Estate Isolo Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-fatai-irawo-street-off-ajao-junction-ajao-estate-isolo-lagos-5GCKJ,Lagos,Isolo,"550,000/year",2 beds,1 baths,1 Toilets,08031132925,22 Feb 2022,23 Feb 2022
4 Bedroom Terrace Duplex With A Bq,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-7GBHJ,Lagos,Lekki,"7,000,000",4 beds,4 baths,5 Toilets,08139265236,14 Feb 2022,22 Feb 2022
4 Bedroom Maisonette,Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikoyi-lagos-2GBTB,Lagos,Ikoyi,"12,000,000/year",4 beds,4 baths,5 Toilets,08139265236,17 Feb 2022,22 Feb 2022
One Bedroom Apartment,Ikoyi Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ikoyi-lagos-0GBTC,Lagos,Ikoyi,"5,000,000/year",1 beds,1 baths,2 Toilets,08139265236,17 Feb 2022,22 Feb 2022
3 Bedroom Apartment,Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-victoria-island-lagos-1GBVK,Lagos,Island,"12,000,000/year",3 beds,3 baths,4 Toilets,08139265236,17 Feb 2022,22 Feb 2022
Recently Renovated City View 4 Bedroom Apartment + Bq + Gym + Tennis Court + Squash + Pool+gym Etc In Ocean Parade Banana Island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Dec 2021,24 Feb 2022
4 Bedroom Duplex,Chevron Toll Gate Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-toll-gate-chevron-lekki-lagos-5GCLJ,Lagos,Lekki,"4,000,000",4 beds,5 baths,5 Toilets,09035137760,22 Feb 2022,22 Feb 2022
Fully Serviced 4 Bedroom Semi Detached Duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-8GCKS,Lagos,Lekki,"6,000,000",4 beds,5 baths,5 Toilets,09035137760,22 Feb 2022,22 Feb 2022
4 Bedroom Detached Duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-3GCKR,Lagos,Lekki,"6,000,000",4 beds,5 baths,5 Toilets,09035137760,22 Feb 2022,22 Feb 2022
Standard 3 Bedroom,By Abc Cargo Jahi Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-by-abc-cargo-jahi-abuja-9GCKJ,Abuja,Jahi,"2,000,000/year",3 beds,3 baths,4 Toilets,08160442385,22 Feb 2022,22 Feb 2022
Newly Built 5 Bedroom With A Bq,Guzape Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-guzape-abuja-1GCKH,Abuja,Guzape,"15,000,000/year",5 beds,5 baths,6 Toilets,08160442385,22 Feb 2022,22 Feb 2022
A Standard 3 Bedroom With A Bq,By Ebeano Supermarket Gaduwa Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-by-ebeano-supermarket-gaduwa-abuja-8GCKF,Abuja,Gaduwa,"3,500,000/year",3 beds,3 baths,4 Toilets,08160442385,22 Feb 2022,22 Feb 2022
Standard One Bedroom,By Coza Guzape Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-by-coza-guzape-abuja-4GCJU,Abuja,Guzape,"1,000,000/year",1 beds,1 baths,2 Toilets,08160442385,22 Feb 2022,22 Feb 2022
Serviced 3 Bedroom Flat,Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ajah-lagos-9GCBZ,Lagos,Ajah,"2,000,000",3 beds,3 baths,4 Toilets,07030820139,20 Feb 2022,22 Feb 2022
Newly Built 4 Bedroom Terrace Duplex,Ajah Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ajah-lagos-2GCDE,Lagos,Ajah,"65,000",4 beds,4 baths,4 Toilets,09067320607,20 Feb 2022,22 Feb 2022
Private Master Bedroom Suite,"First Unity Estate, Co Operative Bus Stop Badore Ajah Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-first-unity-estate-co-operative-bus-stop-badore-ajah-lagos-8ENHX,Lagos,Ajah,"20,000/day",1 beds,1 baths,1 Toilets,09093333337,11 Apr 2021,22 Feb 2022
5 Bedroom Semi Detached Duplex,Ologolo Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ologolo-lekki-lagos-9GCEN,Lagos,Lekki,"6,000,000",5 beds,6 baths,6 Toilets,09035137760,21 Feb 2022,22 Feb 2022
Newly Built 4 Units Of 4bedroom Terrace House,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-ikoyi-lagos-7GCGZ,Lagos,Ikoyi,"25,000,000",4 beds,4 baths,4 Toilets,07030820139,21 Feb 2022,22 Feb 2022
Facing Lekki Epe Expressway Shop,Beside Golden Park Estate Abraham Adesanya Estate Ajah Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-beside-golden-park-estate-abraham-adesanya-estate-ajah-lagos-2FZAY,Lagos,Ajah,"2,500,000", beds, baths, Toilets,08160412420,28 Jan 2022,22 Feb 2022
Newly Built One Bedroom,Jabi Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-jabi-abuja-4GCFS,Abuja,Jabi,"1,800,000/year",1 beds,1 baths,2 Toilets,08160442385,21 Feb 2022,22 Feb 2022
Executive 2 Bedroom Penthouse,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-4GCCA,Lagos,Lekki,"3,500,000",2 beds,2 baths,3 Toilets,07030820139,20 Feb 2022,22 Feb 2022
Self Serviced Self Contain,Ilasan Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ilasan-lekki-lagos-0GCGH,Lagos,Lekki,"1,000,000",1 beds,1 baths,1 Toilets,09067320607,21 Feb 2022,22 Feb 2022
2bedroom Flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-1GCCA,Lagos,Lekki,"3,500,000",2 beds,2 baths,3 Toilets,07030820139,20 Feb 2022,22 Feb 2022
Newly Built Spacious Self Contain Apartment,Ologolo Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ologolo-lekki-lagos-7GCGF,Lagos,Lekki,"1,000,000",1 beds,1 baths,1 Toilets,09067320607,21 Feb 2022,22 Feb 2022
Furnished Room In A Shared Apartment,Ilasan Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ilasan-lekki-lagos-7GBZL,Lagos,Lekki,"1,500,000",1 beds,1 baths,1 Toilets,09067320607,19 Feb 2022,22 Feb 2022
Standard 3 Bedroom With A Bq,Garki 2 Abuja,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-garki-2-abuja-3GCGF,Abuja,2,"1,800,000/year",3 beds,3 baths,4 Toilets,08160442385,21 Feb 2022,22 Feb 2022
Spacious Studio Apartment,Idado Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-idado-lekki-lagos-4GCGW,Lagos,Lekki,"1,300,000",1 beds,1 baths,1 Toilets,09067320607,21 Feb 2022,22 Feb 2022
Recently Renovated City View 4 Bedroom Apartment + Bq + Gym + Tennis Court + Squash + Pool+gym Etc In Ocean Parade Banana Island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Dec 2021,24 Feb 2022
Serviced Spacious Bq,Ikate Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ikate-lekki-lagos-6GCHG,Lagos,Lekki,"1,000,000",1 beds,1 baths,1 Toilets,09067320607,21 Feb 2022,22 Feb 2022
Serviced Room Self Contain,"Close To Sweet Sensation , Few Buildings Off Herbert Macaulay Alagomeji Yaba Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-close-to-sweet-sensation-few-buildings-off-herbert-macaulay-alagomeji-yaba-lagos-8GCAD,Lagos,Yaba,"1,200,000/year",1 beds,1 baths,1 Toilets,07066063908,19 Feb 2022,22 Feb 2022
5 Bedroom Detached Duplex,Osapa London Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-1FYED,Lagos,Lekki,"7,000,000",5 beds,6 baths,6 Toilets,09035137760,21 Jan 2022,22 Feb 2022
5 Bedroom Penthouse With Bq,Adeola Odeku Victoria Island Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-adeola-odeku-victoria-island-lagos-1FYEC,Lagos,Island,"12,000,000",5 beds,6 baths,6 Toilets,09035137760,21 Jan 2022,22 Feb 2022
4 Bedroom Semi Detached House With A Bq,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-3FYQY,Lagos,Lekki,"6,000,000",4 beds,5 baths,5 Toilets,09035137760,25 Jan 2022,22 Feb 2022
Fully Furnished 4 Bedroom Apartment,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-1FYWQ,Lagos,Ikoyi,"19,000,000",4 beds,5 baths,5 Toilets,09035137760,27 Jan 2022,22 Feb 2022
Classic Newly Built 2 Bedroom Apartment,Protea Street Peninsula Estate Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-protea-street-peninsula-estate-ajah-lagos-1FZAX,Lagos,Ajah,"2,500,000",2 beds,2 baths,3 Toilets,08160412420,28 Jan 2022,22 Feb 2022
4 Bedroom Terrace Duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-0FWTH,Lagos,Lekki,"4,500,000",4 beds,5 baths,5 Toilets,09035137760,10 Jan 2022,22 Feb 2022
4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-7FVTF,Lagos,Lekki,"5,000,000",4 beds,4 baths,5 Toilets,09035137760,28 Dec 2021,22 Feb 2022
Private Deluxe Master Bedroom,"First Unity Estate , Badore Badore Ajah Lagos",https://www.propertypro.ng/property/1-bedroom-house-for-shortlet-first-unity-estate-badore-badore-ajah-lagos-3GCFH,Lagos,Ajah,"20,000/day",1 beds,1 baths,1 Toilets,09093333337,21 Feb 2022,22 Feb 2022
4 Bedroom Terrace Duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-9FXDH,Lagos,Lekki,"3,500,000",4 beds,5 baths,5 Toilets,09035137760,13 Jan 2022,22 Feb 2022
4 Bedroom Detached Duplex,Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-0FVRG,Lagos,Lekki,"6,000,000",4 beds,5 baths,5 Toilets,09035137760,28 Dec 2021,22 Feb 2022
4 Bedroom Detached Duplex,Agungi Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-agungi-lekki-lagos-4FWWT,Lagos,Lekki,"5,500,000",4 beds,5 baths,5 Toilets,09035137760,11 Jan 2022,22 Feb 2022
Fully Serviced 4bedroom Terrace Duplex With Bq.,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oniru-victoria-island-lagos-2FZQW,Lagos,Island,"8,000,000",4 beds,5 baths,5 Toilets,09035137760,02 Feb 2022,22 Feb 2022
4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-8FWTM,Lagos,Lekki,"5,000,000",4 beds,5 baths,5 Toilets,09035137760,10 Jan 2022,22 Feb 2022
Luxury 5 Bedroom Detached Duplex,Agungi Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-agungi-lekki-lagos-6FZWQ,Lagos,Lekki,"6,000,000",5 beds,6 baths,6 Toilets,09035137760,03 Feb 2022,22 Feb 2022
Well Built 4 Bedroom Semi Detached Duplex,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-1FXDJ,Lagos,Lekki,"120,000,000",4 beds,5 baths,5 Toilets,09035137760,13 Jan 2022,22 Feb 2022
A Standard Beautiful 3 Bedroom Bungalow,Meiran Via Joke Ayo Alagbado Abule Egba Lagos,https://www.propertypro.ng/property/house-for-rent-meiran-via-joke-ayo-alagbado-abule-egba-lagos-5FWVU,Lagos,Egba,"10,000,000",0 beds,0 baths,0 Toilets,09061623299,11 Jan 2022,22 Feb 2022
Spacious 3 Bedroom Flats,Adeola Odeku Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-adeola-odeku-victoria-island-lagos-4GBHX,Lagos,Island,"5,500,000/year",3 beds,0 baths,0 Toilets,07085348881,14 Feb 2022,22 Feb 2022
4 Bedroom Terrace,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-2GBJD,Lagos,Lekki,"5,000,000/year",4 beds,0 baths,0 Toilets,07085348881,14 Feb 2022,22 Feb 2022
Newly Built Mini Flat,Osapa London Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-osapa-london-lekki-lagos-3FVUL,Lagos,Lekki,"1,700,000/year",0 beds,0 baths,2 Toilets,09061623299,29 Dec 2021,22 Feb 2022
High Class 3 Bedroom Apartment + Bq+ Tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,"20,000,000",3 beds,3 baths,4 Toilets,08124269637,20 Jan 2022,24 Feb 2022
4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-0FYAJ,Lagos,Ikoyi,"18,000,000",4 beds,5 baths,5 Toilets,09035137760,20 Jan 2022,22 Feb 2022
Newly Built Shop And Office Space,Utako District Utako Abuja,https://www.propertypro.ng/property/commercial-property-for-rent-utako-district-utako-abuja-0ERCR,Abuja,Utako,"1,700,000/year", beds,1 baths,1 Toilets,08111113467,11 May 2021,22 Feb 2022
4 Bedroom Fully Furnished Semi Detached Duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-4FXGY,Lagos,Lekki,"6,500,000",4 beds,5 baths,5 Toilets,09035137760,14 Jan 2022,22 Feb 2022
Newly Built N Nicely Done Modern 2 Bedrooms Ground Flat,Ifako Area Ifako Gbagada Gbagada Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ifako-area-ifako-gbagada-gbagada-lagos-0GALE,Lagos,Gbagada,"1,600,000/year",2 beds,2 baths,3 Toilets,07066063908,07 Feb 2022,22 Feb 2022
300 Sqm Office Space,"New Market Road, Oniru Oniru Victoria Island Lagos",https://www.propertypro.ng/property/commercial-property-for-rent-new-market-road-oniru-oniru-victoria-island-lagos-4FLWW,Lagos,Island,"45,000/sqm", beds, baths, Toilets,07085348881,06 Oct 2021,22 Feb 2022
4 Bedroom Terrace,Pinnacle Filling Station Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-pinnacle-filling-station-lekki-phase-1-lekki-lagos-4FXJP,Lagos,Lekki,"6,000,000",4 beds,5 baths,5 Toilets,09035137760,15 Jan 2022,22 Feb 2022
Newly Renovated 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-1GBHV,Lagos,Lekki,"4,000,000/year",2 beds,1 baths,2 Toilets,07085348881,14 Feb 2022,22 Feb 2022
4 Bedroom Fully Detached Duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-9FZHJ,Lagos,Lekki,"4,000,000",4 beds,5 baths,5 Toilets,09035137760,31 Jan 2022,22 Feb 2022
Very Clean And Decent Mini Flat,Shomolu Shomolu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-shomolu-shomolu-lagos-5FTCJ,Lagos,Shomolu,"500,000/year", beds, baths, Toilets,09061623299,30 Nov 2021,22 Feb 2022
Comfortable Private Master Bedroom Suite,"First Unity Estate, Co Operative Bus Stop, Badore Ajah Lagos",https://www.propertypro.ng/property/1-bedroom-house-for-shortlet-first-unity-estate-co-operative-bus-stop-badore-ajah-lagos-1ENHY,Lagos,Ajah,"20,000/day",1 beds,1 baths,1 Toilets,09093333337,11 Apr 2021,22 Feb 2022
A Tastefully And Solidly Built 5 Bedroom Detached Duplex With 2rooms Boys Quarters And 2units Of 2bedroom Guest Chalet,Wuse 2 Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-wuse-2-abuja-2FWZC,Abuja,2,"25,000,000",5 beds,6 baths,6 Toilets,09035137760,12 Jan 2022,22 Feb 2022
2 Bedroom Apartment,Ikate Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ikate-lekki-lagos-7FYQC,Lagos,Lekki,"4,000,000",2 beds,3 baths,3 Toilets,09035137760,25 Jan 2022,22 Feb 2022
Luxurious Executive 4 Bedroom Apartment,Ikoyi Ikoyi S.w Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-ikoyi-ikoyi-sw-ikoyi-lagos-0FVCE,Lagos,Ikoyi,"14,000,000/year",4 beds,5 baths,5 Toilets,07066063908,19 Dec 2021,22 Feb 2022
5 Bedroom Semi Detached Duplex,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-9GBJE,Lagos,Lekki,"10,000,000/year",5 beds, baths, Toilets,07085348881,14 Feb 2022,22 Feb 2022
Luxury 1 Bedroom Apartment,"Gerard Road, Ikoyi Gerard Road Ikoyi Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-gerard-road-ikoyi-gerard-road-ikoyi-lagos-6GBHY,Lagos,Ikoyi,"4,000,000/year",1 beds,1 baths,0 Toilets,07085348881,14 Feb 2022,22 Feb 2022
4 Bedroom Maisonette,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-8FWYQ,Lagos,Ikoyi,"15,000,000",4 beds,5 baths,5 Toilets,09035137760,12 Jan 2022,22 Feb 2022
4 Bedroom Terrace Duplex,Badore Ajah Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-badore-ajah-lagos-6FYTT,Lagos,Ajah,"3,000,000",4 beds,5 baths,5 Toilets,09035137760,26 Jan 2022,22 Feb 2022
